TITLE SAMPLE NAME:,LDPE_DOVE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.871
LASTX:,599.82981
LASTY:,98.711
NPOINTS:,1681
2905.29812,96.258
2903.25789,96.471
2901.21765,96.62
2899.17741,96.744
2897.13717,96.849
2895.09694,96.935
2893.0567,97.019
2891.01646,97.108
2888.97622,97.208
2886.93599,97.327
2884.89575,97.466
2882.85551,97.608
2880.81527,97.72
2878.77504,97.816
2876.7348,97.922
2874.69456,98.032
2872.65432,98.135
2870.61409,98.233
2868.57385,98.323
2866.53361,98.394
2864.49337,98.445
2862.45314,98.471
2860.4129,98.441
2858.37266,98.325
2856.33242,98.098
2854.29219,97.692
2852.25195,97.091
2850.21171,96.41
2848.17148,95.861
2846.13124,95.608
2844.091,95.641
2842.05076,95.852
2840.01053,96.153
2837.97029,96.478
2835.93005,96.756
